trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.05, 'e': 0.9835265574948051}",20,0,-134.1722119322033,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
104,False,"{'a': 0.05, 'e': 0.9814066625370375}",30,0,-109.38555630459622,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
105,False,"{'a': 0.05, 'e': 0.9790889147639346}",20,0,-161.16872032627543,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
106,False,"{'a': 0.05, 'e': 0.9765637594473203}",30,12,-157.00860758585176,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 3}",1
107,False,"{'a': 0.05, 'e': 0.9738220255495507}",30,0,-146.18496543430285,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
108,False,"{'a': 0.05, 'e': 0.9708549975440749}",25,0,-188.8322860189696,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
109,False,"{'a': 0.05, 'e': 0.9676544838556221}",25,0,-189.5825945647585,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
110,False,"{'a': 0.05, 'e': 0.9642128811359958}",25,0,-86.27362632479917,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
111,False,"{'a': 0.05, 'e': 0.9605232336729871}",30,0,-144.62246201932683,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
112,False,"{'a': 0.05, 'e': 0.956579287320314}",20,0,-35.808289064759265,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
113,False,"{'a': 0.05, 'e': 0.9523755374333722}",30,13,-31.782351184889535,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.05, 'e': 0.9479072703965444}",20,8,-127.7771189031634,"{0: 6, 1: 1, 2: 1, 3: 2, 4: 2}",1
115,False,"{'a': 0.05, 'e': 0.9431705984305906}",30,0,-120.15280283065489,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",0
116,False,"{'a': 0.05, 'e': 0.9381624874710712}",20,0,-147.8469311563917,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
117,False,"{'a': 0.05, 'e': 0.9328807780088881}",20,0,-56.84780533288747,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.05, 'e': 0.927324198880122}",20,0,-108.20747992856325,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
119,False,"{'a': 0.05, 'e': 0.9214923740829026}",20,0,-100.12292312280272,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
120,False,"{'a': 0.05, 'e': 0.9153858227828134}",25,0,-114.20754438884718,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
121,False,"{'a': 0.05, 'e': 0.9090059527443295}",30,0,-50.01617386222409,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
122,False,"{'a': 0.05, 'e': 0.9023550474932668}",25,0,-170.73238931378685,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
123,False,"{'a': 0.05, 'e': 0.8954362475737077}",25,0,-32.649835071831724,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
124,False,"{'a': 0.05, 'e': 0.8882535263120792}",30,8,-17.16436142788396,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
125,False,"{'a': 0.05, 'e': 0.8808116605409687}",25,0,-184.50597536669895,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
126,False,"{'a': 0.05, 'e': 0.8731161967659792}",20,0,-125.78220135368649,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
127,False,"{'a': 0.05, 'e': 0.8651734132807737}",30,0,-159.93167686557547,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
128,False,"{'a': 0.05, 'e': 0.8569902787488481}",20,0,-14.365340462176226,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
129,False,"{'a': 0.05, 'e': 0.8485744077760785}",30,0,-138.030061685831,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 1}",0
130,False,"{'a': 0.05, 'e': 0.8399340139963247}",35,0,-289.85778385317315,"{0: 16, 1: 7, 2: 6, 3: 1, 4: 5}",0
131,False,"{'a': 0.05, 'e': 0.8310778611840622}",20,0,-97.14255685837936,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
132,False,"{'a': 0.05, 'e': 0.8220152128938715}",25,0,-99.52130103231143,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
133,False,"{'a': 0.05, 'e': 0.812755781107436}",25,0,-90.98767438039515,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
134,False,"{'a': 0.05, 'e': 0.8033096743452229}",20,0,-81.9311600403429,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
135,False,"{'a': 0.05, 'e': 0.7936873456730231}",25,0,-111.78995007447041,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
136,False,"{'a': 0.05, 'e': 0.7838995410037259}",25,2,-9.363135605043334,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
137,False,"{'a': 0.05, 'e': 0.7739572480628057}",20,3,10.87507117325664,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.05, 'e': 0.7638716463526385}",30,12,-26.067931198737096,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
139,False,"{'a': 0.05, 'e': 0.7536540584165625}",25,16,-33.31373528480739,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
140,False,"{'a': 0.05, 'e': 0.7433159026690807}",25,0,-66.4261412181977,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
141,False,"{'a': 0.05, 'e': 0.7328686480242623}",20,7,-51.40046577004498,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
142,False,"{'a': 0.05, 'e': 0.7223237705206731}",35,8,-54.843583741059945,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 1}",1
143,False,"{'a': 0.05, 'e': 0.7116927121083982}",25,15,-35.79975457979564,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.05, 'e': 0.7009868417322511}",20,11,4.256371283597181,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.05, 'e': 0.6902174188153188}",20,0,-21.07981633755352,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
